Median House  Price - 2019,Column11,Column12,Column15,Column14,Column13
,2019,2020,Growth PA,change,change
locality,Median,Median,,2009-2019,2018-2019
LAKE WENDOUREE,836500,995000,7.6,107,8
LAKES ENTRANCE,310000,320000,1.8,19,-5
LALOR,590500,627500,5.8,76,-6
LANCEFIELD,500000,510000,6.7,92,10
LANG LANG,495000,530000,6.9,95,4
LANGWARRIN,617500,644000,6.4,86,-4
LARA,495000,552500,5.9,77,-4
LARA LAKE,540000,542000,5.9,78,2
LAUNCHING PLACE,554000,520000,6.9,95,4
LAVERTON,529000,542500,5.5,71,-9
LAVERTON SOUTH,622500,665000,5.8,75,-4
LEARMONTH,331000,307000,4.3,53,1
LENEVA,426000,455000,2.8,31,10
LEONGATHA,367000,386000,3.8,45,2
LEOPOLD,510000,540000,5.1,65,2
LILYDALE,680000,708500,5.7,74,-4
LINTON,256500,337500,3.9,46,8
LISMORE,144500,237500,2.7,31,9
LOCH SPORT,244000,220000,4.9,62,6
LOCKINGTON,222000,NA,6,79,21
LONG GULLY,280000,269500,4.5,56,4
LONGWARRY,405000,475500,5.1,64,-1
LORNE,1295000,1625000,5.5,72,2
LOVELY BANKS,570000,445000,4.9,61,9
LOWER PLENTY,905000,1491500,4.4,53,-14
LUCAS,431000,502500,NA,NA,9
LUCKNOW,275000,502500,1.9,21,-2
LYNBROOK,623000,617500,5.1,64,-3
LYNDHURST,665000,687500,6.4,86,-4
LYSTERFIELD,956500,940000,6.8,93,-2
LYSTERFIELD SOUTH,1045000,NA,2.4,27,-18
MACEDON,800000,725000,7.6,108,-2
MACLEOD,914500,967000,6.4,86,-1
MACS COVE,300000,NA,6,80,11
MADDINGLEY,460000,515000,6,78,4
MAFFRA,255000,293000,2.5,28,-2
MAIDEN GULLY,512500,480000,4.3,52,3
MAIDSTONE,779000,715000,5.3,68,-3
MALDON,510000,395000,7.6,108,21
MALLACOOTA,406500,402500,4.1,49,40
MALMSBURY,475000,560000,6.7,92,3
MALVERN,2550000,2355000,5.1,64,-4
MALVERN EAST,1770000,1610000,6.4,86,-7
MANANGATANG,97000,110000,1.3,14,18
MANIFOLD HEIGHTS,715000,1437500,5.7,74,-9
MANOR LAKES,535000,555000,5.6,72,2
MANSFIELD,456000,394000,6.2,82,6
MARENGO,687500,810000,6.5,88,15
MARIBYRNONG,987500,955000,4.9,62,-4
MARONG,420000,375000,6.7,92,15
MARSHALL,486500,465000,5.1,64,4
MARYBOROUGH,235500,245000,4.5,55,3
MARYSVILLE,462500,NA,6.8,93,-3
MCCRAE,795000,770000,6.5,88,-6
MCKENZIE HILL,536500,538000,3.6,43,8
MCKINNON,1525000,1875000,5.9,77,-2
MEADOW HEIGHTS,472500,481500,4.6,57,-7
MELTON,385000,390000,5.9,77,-7
MELTON SOUTH,390000,400500,6.1,81,-6
MELTON WEST,424000,475000,5.6,72,-6
MENTONE,1028000,972500,5.6,72,-5
MENZIES CREEK,682500,680000,7.1,99,-10
MERBEIN,210000,198500,3.4,39,17
MERINDA PARK,477000,545000,5.6,72,-9
MERNDA,552000,535000,4.7,58,-4
MERRIJIG (MANSFIELD),422500,NA,2.4,27,-8
METUNG,425000,450000,5,63,14
MICKLEHAM,525000,545000,NA,NA,1
MIDDLE PARK,2705000,3555000,7.6,108,2
MILDURA,310000,317500,4.2,51,10
MILL PARK,654000,681000,6,79,0
MILLGROVE,415000,440000,6.7,92,1
MINERS REST,428000,434000,4.3,53,7
MINYIP,114500,95000,2.8,32,41
MIRBOO NORTH,327500,371500,3.6,42,7
MITCHAM,942000,1085500,6.4,87,-6
MITCHELL PARK,313000,325000,3.2,37,3
MOE,210000,232500,4.5,56,5
MONBULK,630000,633500,6.8,94,-3
MONT ALBERT,1680000,2050000,4.6,56,-16
MONT ALBERT NORTH,1380000,1720000,5.7,74,-4
MONTMORENCY,856000,904500,6.1,81,-8
MONTROSE,707500,711000,6.3,84,-4
MOONEE PONDS,1300000,1300000,6.7,92,-4
MOORABBIN,1050000,1211000,6,78,-7
MOOROOLBARK,670000,710500,6.1,81,-7
MOOROOPNA,249000,265000,2,21,8
MORDIALLOC,1010000,1390000,5.8,76,-3
MORNINGTON,800000,825000,6.5,87,-6
MORTLAKE,164000,160000,0.7,7,-1
MORWELL,180000,177000,2.5,29,8
MOUNT BEAUTY,294000,290000,5,63,10
MOUNT CLEAR,396500,415000,5.3,68,5
MOUNT DANDENONG,662000,785000,3.9,47,2
MOUNT DUNEED,563000,565000,1.1,11,1
MOUNT ELIZA,1157500,1280000,6.4,85,-5
MOUNT EVELYN,636000,705500,6.5,87,-5
MOUNT HELEN,418500,472500,3.1,36,0
MOUNT MACEDON,775000,1036000,5,63,-10
MOUNT MARTHA,1252500,1230000,7.5,107,4
MOUNT PLEASANT,377500,400000,6,79,8
MOUNT WAVERLEY,1267000,1350000,6.2,83,-4
MULGRAVE,840000,928000,5.8,76,-2
MURCHISON,244500,358500,3.9,47,9
MURRUMBEENA,1241500,1495000,5.1,64,-8
MURTOA,119000,132500,2.6,29,8
MYRTLEFORD,315000,327500,5.2,66,7
NAGAMBIE,414000,425000,7,97,7
NARRE WARREN,590000,602500,6.3,84,-4
NARRE WARREN NORTH,1075000,1185000,5.2,67,-9
NARRE WARREN SOUTH,625000,643000,5.7,73,-2
NATHALIA,229000,227500,3.3,39,9
NATIMUK,148500,370000,1.5,16,-6
NEERIM SOUTH,394000,655000,4.1,50,-3
NELSON,247500,210000,2.8,32,-3
NERRINA,617500,625000,7.5,106,7
NEW GISBORNE,695000,715000,6.5,88,-8
NEWBOROUGH,256000,252000,4,48,2
NEWCOMB,435000,464000,6.6,90,-4
NEWINGTON,495000,585000,6.9,95,6
NEWLANDS ARM,444000,397000,4.7,59,21
NEWPORT,1055000,1010000,6.5,88,0
NEWSTEAD,436000,409500,8.2,121,39
NEWTOWN (GREATER GEELONG),825000,1005000,7,96,-2
NHILL,137000,107500,1,10,-8
NICHOLS POINT,430000,435000,3.3,39,-9
NIDDRIE,1070000,845000,6,80,0
NOBLE PARK,629000,653000,6,80,-8
NOBLE PARK NORTH,610000,656500,5.7,74,-8
NOOJEE,224000,411500,1.1,11,-12
NORLANE,349000,366500,8.1,118,-2
NORTH BENDIGO,325000,363500,4.7,58,5
NORTH GEELONG,500000,653500,7.3,102,1
NORTH MELBOURNE,1297500,1135000,7.9,114,10
NORTH WONTHAGGI,389000,390000,3.9,47,5
NORTHCOTE,1300000,1265000,6.9,94,-3
NOTTING HILL,875500,1527000,6.1,81,-9
NUMURKAH,252500,232000,3.9,47,12
NUNAWADING,950000,1185000,6.4,86,-4
NYAH WEST,85000,110000,-0.5,-4,-37
NYORA,370000,472000,7.3,103,9
OAK PARK,840000,703000,5.2,66,-4
OAKLEIGH,1101000,990000,5.9,78,-12
OAKLEIGH EAST,942000,935000,5.5,70,-5
OAKLEIGH SOUTH,908000,983000,5.5,70,-5
OCEAN GROVE,695000,682500,6.1,81,1
OFFICER,550000,585000,4.9,62,0
OFFICER SOUTH,686000,864000,NA,NA,20
OLINDA,748000,690000,7,98,-2
ORBOST,185500,200000,1.8,20,12
ORMOND,1467500,1565000,6.2,82,-8
OSBORNE,780000,815000,6.3,84,3
OUYEN,99000,114000,-1,-10,6
PAKENHAM,485000,520500,4.7,59,-7
PARADISE BEACH,200000,249000,1.6,18,1
PARK ORCHARDS,1460000,1720000,6,79,-1
PARKDALE,1155000,1200500,6.3,85,-7
PARKVILLE,1480000,1657500,1.3,14,-39
PASCOE VALE,858500,920000,5.4,69,-5
PASCOE VALE SOUTH,950000,929500,5.6,72,-1
PATTERSON GARDENS,920000,935000,5.8,76,3
PATTERSON LAKES,923000,1300000,5.8,75,-10
PAYNESVILLE,339000,380000,2.1,23,-4
PEARCEDALE,670000,695000,7.4,104,2
PENSHURST,165000,130000,1.5,16,0
PETERBOROUGH,419000,425000,4.6,57,-7
PIONEER BAY,310000,319000,5.3,68,1
PLENTY,1301000,959000,6.2,82,-4
POINT COOK,640500,650000,4.8,60,1
POINT LONSDALE,827500,890000,4.1,49,-1
POOWONG,443000,285000,9,138,41
POREPUNKAH,535000,467500,7.6,108,15
PORT ALBERT,250000,461000,3.7,44,4
PORT FAIRY,630000,632500,6.6,90,-3
PORT FRANKLIN,302500,323500,3.5,41,18
PORT MELBOURNE,1375000,1780000,5,63,-8
