Median House Prices 3rd Quarter 2020,Column7
SUBURB,No of Sales 
,YTD
TALLANGATTA,11
TALLYGAROOPNA,2
TARNEIT,354
TATURA,62
TAWONGA SOUTH,19
TAYLORS HILL,65
TAYLORS LAKES,43
TECOMA,15
TEMPLESTOWE,73
TEMPLESTOWE LOWER,87
TERANG,30
THE BASIN,32
THE HONEYSUCKLES,10
THE PATCH,6
THOMASTOWN,80
THOMSON (GREATER GEELONG),19
THORNBURY,83
THORNHILL PARK,28
TIMBOON,12
TONGALA,16
TOONGABBIE,8
TOORA,8
TOORADIN,14
TOORAK,45
TOOTGAROOK,59
TORQUAY,189
TRAFALGAR,53
TRARALGON,412
TRARALGON EAST,12
TRAVANCORE,4
TRENTHAM,27
TRUGANINA,238
TULLAMARINE,18
TYABB,16
UPPER FERNTREE GULLY,18
UPWEY,49
VENTNOR,21
VENUS BAY,87
VERMONT,60
VERMONT SOUTH,51
VIEWBANK,33
VIOLET TOWN,9
WAHGUNYAH,10
WALLAN,90
WALLAN EAST,47
WANDANA HEIGHTS,17
WANDIN NORTH,11
WANGARATTA,266
WANTIRNA,59
WANTIRNA SOUTH,81
WARBURTON,17
WARNEET,13
WARRACKNABEAL,32
WARRAGUL,257
WARRANDYTE,33
WARRANWOOD,25
WARRNAMBOOL,348
WATERWAYS,13
WATSONIA,47
WATSONIA NORTH,21
WATTLE GLEN,13
WAURN PONDS,32
WEDDERBURN,11
WEIR VIEWS,43
WENDOUREE,136
WENDOUREE WEST,17
WERRIBEE,354
WERRIBEE SOUTH,11
WEST FOOTSCRAY,77
WEST MELBOURNE,12
WEST WODONGA,153
WESTALL,27
WESTGARTH,14
WESTMEADOWS,45
WHEELERS HILL,98
WHITE HILLS,43
WHITTINGTON,28
WHITTLESEA,43
WILLIAMS LANDING,62
WILLIAMSTOWN,76
WILLIAMSTOWN NORTH,11
WIMBLEDON HEIGHTS,15
WINCHELSEA,21
WINDSOR,34
WINTER VALLEY,38
WODONGA,273
WOLLERT,262
WONGA PARK,13
WONTHAGGI,69
WOODEND,53
WOOLAMAI WATERS,43
WOORI YALLOCK,40
WURRUK,9
WY YUNG,21
WYCHEPROOF,12
WYNDHAM VALE,173
YALLAMBIE,16
YALLOURN NORTH,21
YARRA GLEN,20
YARRA JUNCTION,30
YARRAGON,19
YARRAM,37
YARRAVILLE,106
YARRAWONGA,107
YEA,21
YINNAR,9
