lga,2019,2020,change 2018-2019,change 2009-2019,Growth PA,no. of sales 2020
Mansfield,299500.0,500000.0,5.0,64.0,-13.0,10
Moreland,700500.0,820000.0,4.5,56.0,-4.0,15
Bass Coast,397500.0,421000.0,6.2,82.0,-1.0,24
Buloke,290000.0,361000.0,2.3,26.0,7.0,13
Banyule,797500.0,832500.0,6.1,81.0,-2.0,114
Nillumbik,797500.0,832500.0,6.1,81.0,-2.0,114
Hume,715000.0,728000.0,4.2,50.0,-1.0,133
Greater Geelong,505000.0,551500.0,5.6,73.0,2.0,158
Moreland,727500.0,712500.0,5.7,74.0,-2.0,42
Casey,560000.0,590000.0,5.5,70.0,-11.0,52
Northern Grampians,310000.0,400500.0,3.0,35.0,-13.0,15
Southern Grampians,208500.0,250000.0,1.2,13.0,-7.0,171
Greater Geelong,540000.0,560000.0,6.2,83.0,-1.0,90
Bayside,1896000.0,1650000.0,5.6,72.0,0.0,76
Bayside,1195000.0,1252500.0,6.2,83.0,-3.0,42
Casey,502000.0,532000.0,5.5,70.0,-9.0,165
Melton,475000.0,470000.0,5.3,68.0,-2.0,134
Mornington Peninsula,506000.0,555000.0,5.4,69.0,-3.0,83
Mornington Peninsula,430000.0,561000.0,6.5,87.0,-10.0,27
Boroondara,2195500.0,2578000.0,5.9,77.0,-12.0,83
Boroondara,2050000.0,1857500.0,6.0,79.0,-7.0,44
Yarra Ranges,579500.0,574000.0,6.4,85.0,-4.0,50
Greater Bendigo,332500.0,357500.0,5.8,75.0,7.0,23
Kingston,965000.0,890000.0,5.4,70.0,3.0,21
Maroondah,871000.0,910000.0,7.2,100.0,-7.0,46
Banyule,1122500.0,1302000.0,4.4,54.0,1.0,27
Banyule,777500.0,752500.0,5.6,72.0,-5.0,32
Banyule,665000.0,790000.0,5.9,78.0,-5.0,28
Hepburn,452500.0,485000.0,3.7,44.0,6.0,10
Hepburn,595000.0,559000.0,5.6,73.0,21.0,16
Greater Geelong,534000.0,560000.0,6.7,91.0,-3.0,37
Wellington,195000.0,227500.0,2.3,26.0,-6.0,34
