ranking,School,Location,median VCE Score,VCE 40+ %
459,Lilydale Heights College,Lilydale,25,2.2
,,,,
460,Essendon Keilor College,Essendon,25,1.9
,,,,
461,Taylors Lakes Secondary College,Taylors Lakes,25,1.9
,,,,
462,Whittlesea Secondary College,Whittlesea,25,1.8
,,,,
463,Grovedale College,Grovedale,25,1.2
,,,,
464,Lorne P-12 College,Lorne,25,1.1
,,,,
465,Box Hill Senior Secondary College,Mont Albert North,25,1
,,,,
466,Patterson River Secondary College,Carrum,25,0.9
,,,,
467,Yarra Hills Secondary College,Mooroolbark,25,0.9
,,,,
468,Mount Ridley P-12 College,Craigieburn,25,0.7
,,,,
469,St Johns Regional College,Dandenong,25,0.7
,,,,
470,Kurunjang Secondary College,Melton,25,0.4
,,,,
471,Noble Park Secondary College,Noble Park,25,0.4
,,,,
472,Lowanna College,Newborough,25,0.3
,,,,
473,Carrum Downs Secondary College,Carrum Downs,25,0
,,,,
474,Chisholm Institute of TAFE Frankston,Frankston,25,0
,,,,
475,Edenhope College,Edenhope,25,0
,,,,
476,Forest Hill College,Burwood East,25,0
,,,,
477,Gilmore College for Girls,Footscray,25,0
,,,,
478,Kerang Christian College,Kerang,25,0
,,,,
479,St Augustines College,Kyabram,25,0
,,,,
480,Woodmans Hill Secondary College,Ballarat East,25,0
,,,,
481,Box Hill Institute Cae Campus Melbourne,Melbourne,24,3.7
,,,,
