School_Name,School_Type,LGA_Name
Mount Dandenong Primary School,Primary,Yarra Ranges (S)
Nullawil Primary School,Primary,Buloke (S)
Badger Creek Primary School,Primary,Yarra Ranges (S)
Middle Kinglake Primary School,Primary,Murrindindi (S)
Point Lonsdale Primary School,Primary,Queenscliffe (B)
Kongwak Primary School,Primary,South Gippsland (S)
Clarinda Primary School,Primary,Kingston (C)
Chelsea Heights Primary School,Primary,Kingston (C)
Wallington Primary School,Primary,Greater Geelong (C)
Tecoma Primary School,Primary,Yarra Ranges (S)
Torquay P-6 College,Primary,Surf Coast (S)
Emerald Primary School,Primary,Cardinia (S)
Carrum Primary School,Primary,Kingston (C)
Nyora Primary School,Primary,South Gippsland (S)
Exford Primary School,Primary,Melton (C)
Ultima Primary School,Primary,Swan Hill (RC)
Mount Waverley Primary School,Primary,Monash (C)
Marlo Primary School,Primary,East Gippsland (S)
Murrumbeena Primary School,Primary,Glen Eira (C)
Wesburn Primary School,Primary,Yarra Ranges (S)
Koorlong Primary School,Primary,Mildura (RC)
Warranwood Primary School,Primary,Maroondah (C)
Willowmavin Primary School,Primary,Mitchell (S)
Olinda Primary School,Primary,Yarra Ranges (S)
Carlisle River Primary School,Primary,Colac-Otway (S)
Spring Gully Primary School,Primary,Greater Bendigo (C)
Mallacoota P-12 College,Pri/Sec,East Gippsland (S)
Langwarrin Primary School,Primary,Frankston (C)
Cockatoo Primary School,Primary,Cardinia (S)
Tyabb Railway Station Primary School,Primary,Mornington Peninsula (S)
Belgrave South Primary School,Primary,Yarra Ranges (S)
Yarra Me School,Special,Darebin (C)
Sydenham - Hillside Primary School,Primary,Brimbank (C)
Canterbury Primary School,Primary,Boroondara (C)
The Lake Primary School,Primary,Mildura (RC)
Grey Street Primary School (Traralgon),Primary,Latrobe (C)
Brunswick North Primary School,Primary,Moreland (C)
Fawkner Primary School,Primary,Moreland (C)
Alphington Primary School,Primary,Yarra (C)
The Austin School,Special,Banyule (C)
Bona Vista Primary School,Primary,Baw Baw (S)
Banyan Fields Primary School,Primary,Frankston (C)
Norris Bank Primary School,Primary,Whittlesea (C)
Macclesfield Primary School,Primary,Yarra Ranges (S)
Black Rock Primary School,Primary,Bayside (C)
Mount Evelyn Primary School,Primary,Yarra Ranges (S)
Kilsyth Primary School,Primary,Yarra Ranges (S)
Wonthaggi Primary School,Primary,Bass Coast (S)
Spotswood Primary School,Primary,Hobsons Bay (C)
Clyde Primary School,Primary,Casey (C)
Noble Park Primary School,Primary,Greater Dandenong (C)
Deepdene Primary School,Primary,Boroondara (C)
Clifton Creek Primary School,Primary,East Gippsland (S)
Kennington Primary School,Primary,Greater Bendigo (C)
Cardinia Primary School,Primary,Cardinia (S)
Grahamvale Primary School,Primary,Greater Shepparton (C)
